x,y,z,R
12,30,56,0
12,30,55,0
12,30,54,0
12,30,53,0
12,30,52,0
12,30,51,0
12,30,50,0
12,30,51,0
13,30,52,0
14,30,51,0
14,31,50,0
14,31,51,0
14,31,52,0
14,31,53,0
14,31,54,0
14,31,55,0
14,31,56,0
15,30,56,0
16,30,56,0
17,29,56,0
18,28,56,0
19,27,56,0
20,26,56,0
21,26,56,0
22,25,56,0
22,25,55,0
22,25,54,0
22,25,53,0
22,25,52,0
22,25,51,0
22,25,50,0
22,25,49,0
22,25,48,0
22,26,47,0
23,27,46,0
24,27,47,0
24,27,48,0
24,27,49,0
24,27,50,0
24,27,51,0
24,27,52,0
24,27,53,0
24,27,54,0
24,27,55,0
24,27,56,0
24,26,56,0
23,25,56,0
23,24,56,0
22,23,56,0
22,22,56,0
21,21,56,0
21,20,56,0
20,19,56,0
20,18,56,0
19,17,56,0
19,16,56,0
18,15,56,0
18,14,56,0
17,13,56,0
17,12,56,0
17,12,56,3
17,12,55,6
17,12,54,9
17,12,54,12
17,12,54,15
17,12,53,18
17,12,52,21
17,12,52,24
17,12,52,27
17,12,51,30
17,12,50,33
17,12,50,36
17,12,50,39
17,12,49,42
17,12,48,45
17,12,48,48
17,12,48,51
17,12,47,54
17,12,46,57
17,12,46,60
17,12,46,63
17,12,45,66
17,12,44,69
17,12,44,72
17,12,44,75
17,12,43,78
17,12,42,81
17,12,42,84
17,12,42,87
17,12,41,90
17,13,41,90
17,14,41,90
17,15,41,90
17,16,41,90
17,17,41,90
18,17,41,90
18,17,42,90
18,17,43,90
19,17,43,90
19,17,42,90
19,17,41,90
20,16,42,90
20,16,43,90
20,16,42,90
20,17,41,90
20,17,42,90
21,16,43,90
21,17,42,90
21,17,41,90
22,17,41,90
22,17,42,90
22,17,43,90
22,17,42,90
22,18,41,90
22,18,40,90
22,18,39,90
22,18,40,90
22,18,41,90
22,18,42,90
23,18,43,90
23,18,44,90
23,18,45,90
23,18,44,90
23,18,43,90
23,18,42,90
23,18,41,90
23,18,40,90
23,18,39,90
24,18,40,90
24,18,41,90
24,18,42,90
24,18,43,90
24,18,44,90
24,18,45,90
25,18,45,90
25,18,44,90
25,18,43,90
25,18,42,90
25,18,41,90
25,18,40,90
26,18,40,90
26,18,41,90
26,18,42,90
26,18,43,90
26,18,44,90
26,18,45,90
27,19,46,90
27,19,45,90
27,19,44,90
27,18,43,90
27,18,42,90
27,18,41,90
27,18,40,90
28,17,41,90
28,16,42,90
28,17,43,90
28,18,44,90
28,19,45,90
28,19,46,90
28,19,47,90
29,18,48,90
29,18,49,90
29,18,50,90
29,17,49,90
29,16,49,90
29,15,49,90
29,14,49,90
29,13,49,90
29,12,49,90
