x,y,z,Rx,Ry,Rz
30,20,59,0,0,0
29,20,59,0,0,0
28,20,59,0,0,0
27,20,59,0,0,0
26,20,59,0,0,0
25,21,60,0,0,0
24,21,60,0,0,0
23,21,60,0,0,0
22,21,60,0,0,0
21,21,60,0,0,0
21,21,59,0,0,0
21,21,58,0,0,0
21,21,57,0,0,0
21,21,56,0,0,0
21,21,55,0,0,0
21,21,54,0,0,0
21,21,53,0,0,0
21,21,52,0,0,0
21,21,51,0,0,0
21,21,50,0,0,0
21,21,49,0,0,0
21,21,48,0,0,0
21,20,48,0,0,0
22,20,48,0,0,0
22,21,48,0,0,0
23,21,49,0,0,0
24,21,49,0,0,0
25,21,50,0,0,0
25,21,51,0,0,0
25,21,52,0,0,0
25,21,53,0,0,0
25,21,54,0,0,0
25,21,55,0,0,0
25,21,56,0,0,0
25,21,57,0,0,0
25,21,58,0,0,0
25,21,59,0,0,0
25,21,60,0,0,0
25,21,59,0,0,0
25,21,58,0,0,0
25,21,57,0,0,0
25,21,56,0,0,0
25,21,55,0,0,0
25,21,54,0,0,0
25,21,53,0,0,0
25,21,52,0,0,0
25,21,51,0,0,0
25,21,50,0,0,0
25,21,49,0,0,0
26,20,49,0,0,0
26,19,49,0,0,0
27,18,49,0,0,0
27,19,49,0,0,0
27,20,49,0,0,0
27,21,49,0,0,0
28,22,49,0,0,0
28,21,49,0,0,0
28,20,48,0,0,0
28,19,47,0,0,0
28,18,47,0,0,0
28,18,48,0,0,0
29,17,49,0,0,0
29,18,48,0,0,0
29,19,48,0,0,0
29,20,49,0,0,0
29,20,48,0,0,0
29,21,47,0,0,0
29,21,48,0,0,0
29,22,49,0,0,0
29,22,50,0,0,0
30,23,51,0,0,0
30,23,50,0,0,0
30,22,49,0,0,0
30,22,48,0,0,0
30,22,47,0,0,0
30,21,47,0,0,0
30,20,48,0,0,0
30,20,49,0,0,0
30,20,50,0,0,0
30,19,51,0,0,0
30,18,50,0,0,0
30,18,49,0,0,0
30,17,49,0,0,0
30,18,50,0,0,0
31,18,51,0,0,0
31,19,52,0,0,0
31,20,52,0,0,0
31,20,51,0,0,0
31,20,50,0,0,0
31,20,49,0,0,0
31,21,48,0,0,0
31,21,47,0,0,0
31,21,46,0,0,0
31,22,47,0,0,0
31,22,48,0,0,0
31,22,49,0,0,0
31,23,50,0,0,0
31,23,51,0,0,0
32,22,51,0,0,0
32,22,52,0,0,0
32,22,53,0,0,0
32,22,54,0,0,0
32,22,55,0,0,0
32,22,56,0,0,0
32,22,57,0,0,0
32,22,58,0,0,0
32,22,59,0,0,0
32,22,60,0,0,0
32,23,60,0,0,0
32,24,60,0,0,0
33,25,60,0,0,0
33,26,60,0,0,0
33,27,60,0,0,0
33,27,59,0,0,0
33,27,58,0,0,0
33,27,57,0,0,0
33,27,56,0,0,0
33,27,55,0,0,0
33,27,54,0,0,0
33,27,53,0,0,0
33,27,52,0,0,0
33,27,51,0,0,0
33,27,50,0,0,0
33,27,49,0,0,0
33,27,48,0,0,0
33,27,47,0,0,0
33,26,47,0,0,0
33,25,47,0,0,0
34,24,47,0,0,0
34,23,47,0,0,0
34,24,47,0,0,0
34,24,46,0,0,0
34,25,45,0,0,0
34,26,45,0,0,0
34,27,45,0,0,0
34,27,46,0,0,0
35,27,47,0,0,0
35,27,48,0,0,0
35,26,47,0,0,0
35,26,46,0,0,0
35,25,47,0,0,0
35,24,47,0,0,0
35,23,47,0,0,0
36,23,47,0,0,0
36,24,47,0,0,0
36,25,47,0,0,0
36,26,48,0,0,0
36,26,49,0,0,0
36,27,49,0,0,0
36,27,50,0,0,0
36,27,51,0,0,0
36,27,52,0,0,0
36,27,53,0,0,0
36,27,54,0,0,0
36,27,55,0,0,0
36,27,56,0,0,0
36,27,57,0,0,0
36,27,58,0,0,0
36,27,59,0,0,0
36,27,60,0,0,0
35,26,60,3,0,0
35,25,60,6,0,0
34,24,60,9,0,0
33,24,60,12,0,0
32,23,60,15,0,0
32,22,60,18,0,0
31,21,60,21,0,0
30,20,60,24,0,0
30,20,60,27,0,0
29,19,60,30,0,0
28,18,60,33,0,0
28,17,60,36,0,0
27,16,60,39,0,0
26,15,60,42,0,0
26,14,60,45,0,0
25,14,60,48,0,0
24,13,60,51,0,0
23,12,60,54,0,0
23,11,60,57,0,0
22,10,60,60,0,0
21,10,60,63,0,0
21,9,60,66,0,0
20,8,60,69,0,0
19,7,60,72,0,0
18,6,60,75,0,0
18,5,60,78,0,0
17,4,60,81,0,0
16,4,60,84,0,0
16,3,60,87,0,0
15,2,60,90,0,0
15,2,59,90,0,0
15,2,58,90,0,3
15,2,57,90,0,6
15,2,56,90,0,9
15,2,55,90,0,9
15,2,54,90,0,12
15,2,53,90,0,15
15,2,52,90,0,18
15,2,51,90,0,18
15,2,50,90,0,21
15,2,49,90,0,24
15,2,48,90,0,27
15,2,47,90,0,27
15,3,47,90,0,30
15,4,47,90,0,30
15,5,47,90,0,30
15,6,47,90,0,30
15,7,47,90,0,30
15,8,47,90,0,30
15,9,47,90,0,30
15,10,47,90,0,30
15,11,47,90,0,30
15,12,47,90,0,30
15,13,47,90,0,30
15,14,47,90,0,30
15,14,46,90,0,30
15,14,45,90,0,30
15,14,44,90,0,30
16,14,45,90,0,30
16,13,46,90,0,30
16,13,47,90,0,30
16,13,46,90,0,30
16,13,45,90,0,30
16,14,44,90,0,30
16,14,43,90,0,30
16,14,42,90,0,30
16,14,41,90,0,30
16,14,42,90,0,30
16,14,43,90,0,30
16,14,44,90,0,30
16,14,45,90,0,30
16,14,46,90,0,30
17,13,47,90,0,30
17,13,48,90,0,30
17,13,47,90,0,30
17,14,46,90,0,30
17,14,45,90,0,30
17,14,44,90,0,30
17,14,43,90,0,30
17,15,42,90,0,30
17,15,41,90,0,30
17,14,40,90,0,30
17,14,41,90,0,30
17,14,42,90,0,30
18,14,43,90,0,30
18,13,44,90,0,30
18,13,45,90,0,30
18,13,46,90,0,30
